OlinkID;AssayType;UniProt;Assay;Panel;Block;DataAnalysisRefID;BimodalDistribution;LODNPX;LODCount;LODMethod;Version
OID50215;assay;P18564;ITGB6;Reveal;1;R10001;FALSE;-1.96105461051206;546;lod_npx;10.0.0
OID50216;assay;O76095;JTB;Reveal;1;R10001;FALSE;-1.57060192523823;9052;lod_npx;10.0.0
OID50218;assay;Q8IZA0;KIAA0319L;Reveal;1;R10001;FALSE;0.695173486457441;12450;lod_npx;10.0.0
OID50219;assay;O95239;KIF4A;Reveal;1;R10001;FALSE;-0.310296465484557;3970;lod_npx;10.0.0
OID50220;assay;Q92845;KIFAP3;Reveal;1;R10001;FALSE;0.416980613545036;3090;lod_npx;10.0.0
OID50221;assay;P43629;KIR3DL1;Reveal;1;R10001;FALSE;-0.219613681652734;21652;lod_npx;10.0.0
OID50222;assay;O60662;KLHL41;Reveal;1;R10001;FALSE;-1.70705229611565;710;lod_npx;10.0.0
OID50223;assay;Q9NZS2;KLRF1;Reveal;1;R10001;FALSE;-3.0338584269585;930;lod_npx;10.0.0
OID50224;assay;P13647;KRT5;Reveal;1;R10001;FALSE;0.310344365204173;26184;lod_npx;10.0.0
OID50225;assay;P15018;LIF;Reveal;1;R10001;FALSE;1.17838773644763;898;lod_npx;10.0.0
OID50226;assay;Q8NHJ6;LILRB4;Reveal;1;R10001;FALSE;-0.638997678373189;1288;lod_npx;10.0.0
OID50227;assay;Q32MZ4;LRRFIP1;Reveal;1;R10001;FALSE;-0.872466875369066;3976;lod_npx;10.0.0
OID50228;assay;Q6UXK5;LRRN1;Reveal;1;R10001;FALSE;-4.04168345291525;350;lod_npx;10.0.0
OID50229;assay;Q9NS15;LTBP3;Reveal;1;R10001;FALSE;-2.33094631378106;330;lod_npx;10.0.0
OID50230;assay;Q99683;MAP3K5;Reveal;1;R10001;FALSE;0.0530133405724538;1932;lod_npx;10.0.0
OID50231;assay;P49137;MAPKAPK2;Reveal;1;R10001;FALSE;-1.30920250777727;1668;lod_npx;10.0.0
OID50232;assay;P10636;MAPT;Reveal;1;R10001;FALSE;0.463533848535939;430;lod_npx;10.0.0
OID50233;assay;Q7Z434;MAVS;Reveal;1;R10001;FALSE;-1.47824226042404;5724;lod_npx;10.0.0
OID50234;assay;Q7Z6M3;MILR1;Reveal;1;R10001;FALSE;-0.429928675780766;468;lod_npx;10.0.0
OID50235;assay;Q8NBR6;MINDY2;Reveal;1;R10001;FALSE;-0.646879348123731;47466;lod_npx;10.0.0
OID50236;assay;P46013;MKI67;Reveal;1;R10001;FALSE;-1.04455837471668;334;lod_npx;10.0.0
OID50237;assay;P45452;MMP13;Reveal;1;R10001;FALSE;-0.87954894508488;336;lod_npx;10.0.0
OID50238;assay;P25325;MPST;Reveal;1;R10001;FALSE;-4.59897583415241;312;lod_npx;10.0.0
OID50239;assay;Q9H3R2;MUC13;Reveal;1;R10001;FALSE;-2.63451070926412;234;lod_count;10.0.0
OID50240;assay;Q8N307;MUC20;Reveal;1;R10001;FALSE;-3.89057695245686;3724;lod_npx;10.0.0
OID50241;assay;Q03426;MVK;Reveal;1;R10001;FALSE;-2.56132884943912;610;lod_npx;10.0.0
OID50242;assay;Q96A32;MYL11;Reveal;1;R10001;FALSE;-3.91652683056076;858;lod_npx;10.0.0
OID50243;assay;P08590;MYL3;Reveal;1;R10001;FALSE;-4.34981186578351;298;lod_count;10.0.0
OID50244;assay;Q13459;MYO9B;Reveal;1;R10001;FALSE;-1.85588193829372;2180;lod_npx;10.0.0
OID50245;assay;O60934;NBN;Reveal;1;R10001;FALSE;-1.1323488938694;1360;lod_npx;10.0.0
OID50246;assay;Q9NZQ3;NCKIPSD;Reveal;1;R10001;FALSE;-1.32018194597153;746;lod_npx;10.0.0
OID50247;assay;Q8N183;NDUFAF2;Reveal;1;R10001;FALSE;-1.22962177424212;1978;lod_npx;10.0.0
OID50248;assay;O75380;NDUFS6;Reveal;1;R10001;FALSE;-0.448959844018646;2744;lod_npx;10.0.0
